COD;DESCRIÇÃO;CATEGORIA;PREÇO UNITÁRIO;ID LOJA;MOVIMENTAÇÃO;TIPO
MOV00001;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA A;2;ENTRADA
MOV00002;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA E;-3;SAÍDA
MOV00003;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA C;1;ENTRADA
MOV00004;AGAS. FEM. ACAD. PRETO;ROUPAS;89,99;LOJA B;1;ENTRADA
MOV00005;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA D;1;ENTRADA
MOV00006;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA D;4;ENTRADA
MOV00007;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA A;1;ENTRADA
MOV00008;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA D;2;ENTRADA
MOV00009;AGAS. FEM. ACAD. CINZA;ROUPAS;59,99;LOJA E;-1;SAÍDA
MOV00010;REGATA FEM. ROSA;ROUPAS;89,99;LOJA C;8;ENTRADA
MOV00011;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA A;3;ENTRADA
MOV00012;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA C;-1;SAÍDA
MOV00013;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA B;1;DEVOLUÇÃO
MOV00014;REGATA FEM. PRETA;ROUPAS;79,99;LOJA B;4;ENTRADA
MOV00015;REGATA FEM. CINZA;ROUPAS;59,99;LOJA C;1;ENTRADA
MOV00016;REGATA FEM. CINZA;ROUPAS;59,99;LOJA C;4;ENTRADA
MOV00017;REGATA FEM. AZUL;ROUPAS;89,99;LOJA B;2;DEVOLUÇÃO
MOV00018;REGATA FEM. ROSA;ROUPAS;89,99;LOJA B;4;ENTRADA
MOV00019;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA C;-1;SAÍDA
MOV00020;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA B;-3;SAÍDA
MOV00021;REGATA FEM. PRETA;ROUPAS;79,99;LOJA E;-1;SAÍDA
MOV00022;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA B;4;ENTRADA
MOV00023;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA B;1;ENTRADA
MOV00024;REGATA FEM. PRETA;ROUPAS;79,99;LOJA C;5;ENTRADA
MOV00025;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA C;-4;SAÍDA
MOV00026;REGATA FEM. CINZA;ROUPAS;59,99;LOJA A;2;ENTRADA
MOV00027;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA D;1;ENTRADA
MOV00028;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA D;-2;SAÍDA
MOV00029;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA A;-1;SAÍDA
MOV00030;REGATA FEM. CINZA;ROUPAS;59,99;LOJA A;-2;SAÍDA
MOV00031;BOLSA FIT. GRANDE;ACESSÓRIOS;169,99;LOJA B;1;ENTRADA
MOV00032;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA D;3;ENTRADA
MOV00033;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA B;1;ENTRADA
MOV00034;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA E;1;ENTRADA
MOV00035;REGATA FEM. AZUL;ROUPAS;89,99;LOJA B;4;ENTRADA
MOV00036;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA D;3;ENTRADA
MOV00037;JAQUETA FIT. FEM. AZUL;ROUPAS;189,99;LOJA D;1;ENTRADA
MOV00038;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA B;2;ENTRADA
MOV00039;REGATA FEM. ROSA;ROUPAS;89,99;LOJA E;1;ENTRADA
MOV00040;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA A;1;DEVOLUÇÃO
MOV00041;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA C;-2;SAÍDA
MOV00042;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA C;-2;SAÍDA
MOV00043;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA C;-1;SAÍDA
MOV00044;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;1;ENTRADA
MOV00045;REGATA FEM. ROSA;ROUPAS;89,99;LOJA A;4;ENTRADA
MOV00046;REGATA FEM. ROSA;ROUPAS;89,99;LOJA C;5;DEVOLUÇÃO
MOV00047;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA D;2;ENTRADA
MOV00048;BOLSA FIT. GRANDE;ACESSÓRIOS;169,99;LOJA A;1;ENTRADA
MOV00049;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA C;1;ENTRADA
MOV00050;CALÇA FEM. CINZA;ROUPAS;149,99;LOJA B;2;ENTRADA
MOV00051;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA A;-1;SAÍDA
MOV00052;CALÇA FEM. PRETA;ROUPAS;149,99;LOJA D;2;ENTRADA
MOV00053;MEIA DE COR. PRETA;CALÇADOS;44,99;LOJA A;-2;SAÍDA
MOV00054;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA A;2;ENTRADA
MOV00055;TÊNIS ACAD. FEM. ROSA;CALÇADOS;139,99;LOJA B;1;ENTRADA
MOV00056;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA C;1;ENTRADA
MOV00057;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA E;-1;SAÍDA
MOV00058;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA B;-1;SAÍDA
MOV00059;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA B;-1;SAÍDA
MOV00060;TÊNIS ACAD. FEM. ROSA;CALÇADOS;139,99;LOJA C;-2;SAÍDA
MOV00061;REGATA FEM. AZUL;ROUPAS;89,99;LOJA B;2;ENTRADA
MOV00062;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;-1;SAÍDA
MOV00063;LUVA MUSC. CINZA;ACESSÓRIOS;45,99;LOJA B;3;ENTRADA
MOV00064;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA C;4;DEVOLUÇÃO
MOV00065;TÊNIS ACAD. FEM. CINZA;CALÇADOS;109,99;LOJA C;1;ENTRADA
MOV00066;REGATA FEM. ROSA;ROUPAS;89,99;LOJA A;-3;SAÍDA
MOV00067;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA B;1;ENTRADA
MOV00068;BOLSA FIT. GRANDE;ACESSÓRIOS;169,99;LOJA B;-1;SAÍDA
MOV00069;AGAS. FEM. ACAD. CINZA;ROUPAS;59,99;LOJA C;1;ENTRADA
MOV00070;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA E;12;ENTRADA
MOV00071;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;4;ENTRADA
MOV00072;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA A;1;ENTRADA
MOV00073;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA D;1;ENTRADA
MOV00074;REGATA FEM. PRETA;ROUPAS;79,99;LOJA E;9;ENTRADA
MOV00075;BOLSA FIT. PEQUENA;ACESSÓRIOS;69,99;LOJA C;1;ENTRADA
MOV00076;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA C;-1;SAÍDA
MOV00077;CAM. FIT. FEM. CINZA;ROUPAS;79,99;LOJA A;-2;SAÍDA
MOV00078;TÊNIS ACAD. FEM. AZUL;CALÇADOS;269,99;LOJA C;-1;SAÍDA
MOV00079;BOLSA FIT. MÉDIA;ACESSÓRIOS;69,99;LOJA B;-1;SAÍDA
MOV00080;CAM. FIT. FEM. VERMELHA;ROUPAS;69,99;LOJA E;-2;SAÍDA
MOV00081;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA C;2;ENTRADA
MOV00082;JAQUETA FIT. FEM. PRETA;ROUPAS;139,99;LOJA C;1;ENTRADA
MOV00083;REGATA FEM. CINZA;ROUPAS;59,99;LOJA B;1;ENTRADA
MOV00084;REGATA FEM. ROSA;ROUPAS;89,99;LOJA A;4;ENTRADA
MOV00085;TÊNIS ACAD. FEM. PRETO;CALÇADOS;109,99;LOJA D;1;ENTRADA
MOV00086;LUVA MUSC. CINZA;ACESSÓRIOS;45,99;LOJA D;2;ENTRADA
MOV00087;BERM. FIT. FEM. CINZA;ROUPAS;109,99;LOJA A;7;DEVOLUÇÃO
MOV00088;BERM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA B;1;ENTRADA
MOV00089;BOLSA FIT. PEQUENA;ACESSÓRIOS;69,99;LOJA A;-1;SAÍDA
MOV00090;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA D;1;ENTRADA
MOV00091;CALÇA FEM. ROSA;ROUPAS;109,99;LOJA C;-1;SAÍDA
MOV00092;BERM. FIT. FEM. ESTAMPADA;ROUPAS;99,99;LOJA E;2;ENTRADA
MOV00093;CAM. FIT. FEM. VERDE;ROUPAS;99,99;LOJA A;5;ENTRADA
MOV00094;CAM. FIT. FEM. PRETA;ROUPAS;79,99;LOJA A;3;ENTRADA
MOV00095;CAM. FIT. FEM. AZUL;ROUPAS;99,99;LOJA B;4;ENTRADA
MOV00096;BERM. FIT. FEM. ROSA;ROUPAS;129,99;LOJA A;-1;SAÍDA
MOV00097;LUVA MUSC. PRETA;ACESSÓRIOS;54,99;LOJA E;-2;SAÍDA
MOV00098;MEIA DE COR. BRANCA;CALÇADOS;29,99;LOJA E;-2;SAÍDA
